gene	longest_isoform	gene_type	gene_JakkeGuo	gene_Jakke_ver1	gene_ddv6	jakkeguo_collapsed	ddv6_collapsed	jakke_ver1_collapsed	Preferred_name	Description	PFAMs	class
h1SMnG0028673	h1SMnT0028673.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0028965	h1SMnT0028965.2	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0029152	h1SMnT0029152.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0030221	h1SMnT0030221.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0030786	h1SMnT0030786.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0031264	h1SMnT0031264.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0031900	h1SMnT0031900.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0031940	h1SMnT0031940.3	hconf	-	-	-	-	-	-	-	-	-	-
h1SMnG0032082	h1SMnT0032082.1	hconf	-	-	-	-	-	-	-	-	-	-
h1SMnG0032087	h1SMnT0032087.1	hconf	-	-	-	-	-	-	-	-	-	-
h1SMnG0032094	h1SMnT0032094.1	hconf	-	-	-	-	-	-	-	-	-	-
h1SMnG0032095	h1SMnT0032095.1	hconf	-	-	-	-	-	-	-	-	-	-
h1SMnG0032276	h1SMnT0032276.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0032993	h1SMnT0032993.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0033486	h1SMnT0033486.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0033865	h1SMnT0033865.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0033881	h1SMnT0033881.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0034003	h1SMnT0034003.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0034316	h1SMnT0034316.1	other	-	-	-	-	-	-	-	-	-	-
