gene	longest_isoform	gene_type	gene_JakkeGuo	gene_Jakke_ver1	gene_ddv6	jakkeguo_collapsed	ddv6_collapsed	jakke_ver1_collapsed	Preferred_name	Description	PFAMs	class
h1SMcG0008540	h1SMcT0008540.1	other	SmMSTRG.19799.1	MSTRG.19799	-	SmMSTRG.19799.1	-	MSTRG.19799	-	-	-	-
h1SMcG0008712	h1SMcT0008712.1	other	-	-	-	-	-	-	-	K02A2.6-like	DUF1759,RVP_2,RVT_1,SCAN,SRCR,gag-asp_proteas,rve,zf-CCHC,zf-H2C2	-
h1SMcG0010047	h1SMcT0010047.1	hconf	SMEST064418001.1	SMESG000064418.1	-	SMEST064418001.1	-	SMESG000064418.1	SLC22A5	positive regulation of intestinal epithelial structure maintenance	MFS_1,Sugar_tr	-
h1SMcG0011205	h1SMcT0011205.1	hconf	-	-	-	SMEST058995002.1,SMEST065077002.1	-	SMESG000058995.1,SMESG000065077.1	-	-	-	-
h1SMcG0011401	h1SMcT0011401.1	other	SMEST058785002.1	SMESG000058785.1	-	SMEST058785002.1	-	SMESG000058785.1	-	-	DNA_pol_B_2,DUF3719,Endonuclease_7,Rho_N,SASA	-
h1SMcG0012652	h1SMcT0012652.1	hconf	-	-	-	-	-	-	-	-	-	-
h1SMcG0012697	h1SMcT0012697.1	other	-	-	-	-	-	-	-	K02A2.6-like	DUF1759,RVP_2,RVT_1,SCAN,SRCR,gag-asp_proteas,rve,zf-CCHC,zf-H2C2	-
h1SMcG0012803	h1SMcT0012803.1	hconf	SmMSTRG.21486.1	MSTRG.21486	-	SMEST073179001.1,SmMSTRG.21481.1,SmMSTRG.21486.1	-	MSTRG.21481,MSTRG.21486	-	AMPA glutamate receptor activity	ANF_receptor,Lig_chan,Lig_chan-Glu_bd	-
h1SMcG0012926	h1SMcT0012926.1	other	-	-	-	-	-	-	-	-	-	-
h1SMcG0012996	h1SMcT0012996.1	other	-	-	dd_Smed_v6_30564_0_1	-	dd_Smed_v6_30564_0_1	-	-	-	-	-
h1SMcG0015450	h1SMcT0015450.1	other	-	-	-	-	-	-	-	-	-	-
h1SMcG0015480	h1SMcT0015480.1	hconf	SMEST041897001.1	SMESG000041897.1	-	SMEST041897001.1,SMEST041897002.1	-	SMESG000041897.1	MEMO1	regulation of microtubule-based process	Memo	-
h1SMcG0016106	h1SMcT0016106.1	hconf	SMEST069599001.1	SMESG000069599.1	-	SMEST069599001.1	-	SMESG000069599.1	-	-	-	-
h1SMcG0016252	h1SMcT0016252.1	hconf	SMEST068886001.1	MSTRG.19334	dd_Smed_v6_12913_0_1	SMEST068886001.1,SmMSTRG.19334.2	dd_Smed_v6_12913_0_1	MSTRG.19334	-	-	-	-
h1SMcG0017135	h1SMcT0017135.1	hconf	-	-	-	-	-	-	-	-	-	-
h1SMcG0017609	h1SMcT0017609.1	other	-	-	-	-	-	-	-	K02A2.6-like	DUF1759,RVP_2,RVT_1,SCAN,SRCR,gag-asp_proteas,rve,zf-CCHC,zf-H2C2	-
h1SMcG0017978	h1SMcT0017978.1	other	-	-	-	SmMSTRG.4270.1	dd_Smed_v6_30103_0_1	MSTRG.4270	BIRC2	inhibition of cysteine-type endopeptidase activity involved in apoptotic process	BIR,CARD,TBP,zf-C3HC4_3	-
h1SMcG0018088	h1SMcT0018088.1	hconf	SMEST038962001.1	SMESG000038962.1	-	SMEST038962001.1	-	SMESG000038962.1	tuba4a	Tubulin is the major constituent of microtubules. It binds two moles of GTP, one at an exchangeable site on the beta chain and one at a non-exchangeable site on the alpha chain	Filament,Tubulin,Tubulin_C	-
h1SMcG0018412	h1SMcT0018412.1	other	-	-	-	-	dd_Smed_v6_12777_0_33	-	-	-	-	-
h1SMcG0018896	h1SMcT0018896.1	other	-	-	-	-	-	-	-	-	-	-
h1SMcG0019631	h1SMcT0019631.1	other	-	-	-	-	dd_Smed_v6_15778_0_5,dd_Smed_v6_15778_0_8	-	-	-	-	-
h1SMcG0019838	h1SMcT0019838.1	other	-	-	-	-	-	-	-	-	-	-
h1SMcG0020427	h1SMcT0020427.1	other	-	-	-	-	-	-	-	-	-	-
h1SMcG0020524	h1SMcT0020524.1	hconf	-	-	-	-	-	-	-	-	-	-
h1SMcG0020759	h1SMcT0020759.1	hconf	-	-	-	-	-	-	smc3	Structural maintenance of chromosomes	Complex1_49kDa,SMC_N,SMC_hinge	-
h1SMcG0020830	h1SMcT0020830.1	other	-	-	-	-	-	-	-	-	-	-
h1SMcG0021004	h1SMcT0021004.1	hconf	-	-	-	-	-	-	TENM2	RHS Repeat	Aminotran_1_2,EGF,EGF_2,Laminin_EGF,NHL,RHS_repeat,Ten_N,Tox-GHH,hEGF	-
h1SMcG0023089	h1SMcT0023089.1	other	-	-	-	SMEST063486016.1	-	SMESG000063486.1	-	-	-	-
h1SMcG0023094	h1SMcT0023094.1	other	-	-	-	-	-	-	-	-	-	-
h1SMcG0023106	h1SMcT0023106.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0000085	h1SMnT0000085.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0000577	h1SMnT0000577.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0000819	h1SMnT0000819.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0000973	h1SMnT0000973.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0001115	h1SMnT0001115.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0001287	h1SMnT0001287.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0001743	h1SMnT0001743.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0001802	h1SMnT0001802.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0002070	h1SMnT0002070.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0002109	h1SMnT0002109.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0002571	h1SMnT0002571.1	hconf	-	-	-	-	-	-	-	-	-	-
h1SMnG0002573	h1SMnT0002573.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0003126	h1SMnT0003126.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0003639	h1SMnT0003639.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0003841	h1SMnT0003841.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0004388	h1SMnT0004388.1	hconf	-	-	-	-	-	-	-	-	-	-
h1SMnG0004603	h1SMnT0004603.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0004748	h1SMnT0004748.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0004945	h1SMnT0004945.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0005497	h1SMnT0005497.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0005714	h1SMnT0005714.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0006795	h1SMnT0006795.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0006936	h1SMnT0006936.1	other	-	-	-	-	-	-	-	nucleic acid binding	DNA_pol_B_2,Endonuclease_7,Rho_N	-
h1SMnG0006949	h1SMnT0006949.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0007158	h1SMnT0007158.2	hconf	-	-	dd_Smed_v6_45827_0_1	SmMSTRG.20577.2	dd_Smed_v6_45827_0_1	-	-	-	-	-
h1SMnG0007514	h1SMnT0007514.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0007890	h1SMnT0007890.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0008129	h1SMnT0008129.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0008130	h1SMnT0008130.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0008438	h1SMnT0008438.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0009193	h1SMnT0009193.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0009259	h1SMnT0009259.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0009277	h1SMnT0009277.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0009318	h1SMnT0009318.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0009619	h1SMnT0009619.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0009849	h1SMnT0009849.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0009853	h1SMnT0009853.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0010017	h1SMnT0010017.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0010080	h1SMnT0010080.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0010123	h1SMnT0010123.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0010179	h1SMnT0010179.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0010784	h1SMnT0010784.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0011357	h1SMnT0011357.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0011567	h1SMnT0011567.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0012300	h1SMnT0012300.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0012489	h1SMnT0012489.1	other	-	-	-	SMEST051837005.1	-	-	-	-	-	-
h1SMnG0013550	h1SMnT0013550.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0014225	h1SMnT0014225.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0014250	h1SMnT0014250.1	hconf	-	-	-	-	-	-	-	-	-	-
h1SMnG0014915	h1SMnT0014915.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0015087	h1SMnT0015087.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0015890	h1SMnT0015890.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0016180	h1SMnT0016180.1	hconf	SmMSTRG.13283.3	-	-	SmMSTRG.13283.3	-	-	COQ10A	Polyketide cyclase / dehydrase and lipid transport	Polyketide_cyc	-
h1SMnG0016441	h1SMnT0016441.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0016484	h1SMnT0016484.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0016994	h1SMnT0016994.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0017673	h1SMnT0017673.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0017946	h1SMnT0017946.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0018669	h1SMnT0018669.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0018981	h1SMnT0018981.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0019162	h1SMnT0019162.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0019354	h1SMnT0019354.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0019424	h1SMnT0019424.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0019888	h1SMnT0019888.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0020055	h1SMnT0020055.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0020062	h1SMnT0020062.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0021308	h1SMnT0021308.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0022160	h1SMnT0022160.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0022336	h1SMnT0022336.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0022554	h1SMnT0022554.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0022702	h1SMnT0022702.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0022717	h1SMnT0022717.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0022970	h1SMnT0022970.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0023057	h1SMnT0023057.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0023208	h1SMnT0023208.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0023212	h1SMnT0023212.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0023425	h1SMnT0023425.1	hconf	SmMSTRG.1742.2	-	-	SmMSTRG.1742.2	-	-	-	-	-	-
h1SMnG0023677	h1SMnT0023677.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0023824	h1SMnT0023824.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0023969	h1SMnT0023969.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0024043	h1SMnT0024043.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0024050	h1SMnT0024050.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0024546	h1SMnT0024546.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0024675	h1SMnT0024675.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0025559	h1SMnT0025559.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0025799	h1SMnT0025799.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0025830	h1SMnT0025830.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0026113	h1SMnT0026113.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0026748	h1SMnT0026748.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0027146	h1SMnT0027146.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0027411	h1SMnT0027411.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0027700	h1SMnT0027700.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0027908	h1SMnT0027908.1	hconf	-	-	-	-	-	-	-	-	-	-
h1SMnG0028001	h1SMnT0028001.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0028219	h1SMnT0028219.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0028756	h1SMnT0028756.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0029315	h1SMnT0029315.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0030204	h1SMnT0030204.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0031086	h1SMnT0031086.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0031368	h1SMnT0031368.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0031500	h1SMnT0031500.2	hconf	-	-	-	-	-	-	-	-	-	-
h1SMnG0031677	h1SMnT0031677.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0031900	h1SMnT0031900.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0031926	h1SMnT0031926.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0032276	h1SMnT0032276.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0033270	h1SMnT0033270.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0033472	h1SMnT0033472.2	hconf	-	-	-	-	-	-	-	-	-	-
h1SMnG0033662	h1SMnT0033662.2	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0035007	h1SMnT0035007.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0035283	h1SMnT0035283.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0035528	h1SMnT0035528.2	other	-	-	-	-	-	-	-	-	-	-
