gene	longest_isoform	gene_type	gene_JakkeGuo	gene_Jakke_ver1	gene_ddv6	jakkeguo_collapsed	ddv6_collapsed	jakke_ver1_collapsed	Preferred_name	Description	PFAMs	class
h1SMcG0010932	h1SMcT0010932.1	other	-	-	-	-	dd_Smed_v6_16108_0_1	-	-	-	-	-
h1SMcG0011157	h1SMcT0011157.1	other	-	-	-	-	-	-	-	-	DNA_pol_B_2,DUF3719,Endonuclease_7,FLYWCH,Rho_N,SASA	-
h1SMcG0011299	h1SMcT0011299.1	other	-	-	-	-	-	-	-	-	-	-
h1SMcG0011720	h1SMcT0011720.1	other	-	-	-	-	-	-	TRAF2	Tnf receptor-associated factor 2	TRAF_BIRC3_bd,zf-C3HC4,zf-TRAF	-
h1SMcG0011877	h1SMcT0011877.1	other	-	-	-	-	-	-	-	-	-	-
h1SMcG0012459	h1SMcT0012459.1	hconf	-	-	-	-	-	-	-	-	-	-
h1SMcG0012708	h1SMcT0012708.1	hconf	-	-	dd_Smed_v6_77162_0_1	-	dd_Smed_v6_77162_0_1	-	-	-	-	-
h1SMcG0012888	h1SMcT0012888.1	other	-	-	-	-	-	-	-	transposition, RNA-mediated	Peptidase_A2B,RVT_1,Retrotrans_gag,gag-asp_proteas,rve,zf-CCHC	-
h1SMcG0013287	h1SMcT0013287.1	other	-	-	-	-	-	-	TRAF5	meprin and TRAF homology	zf-C3HC4,zf-TRAF	-
h1SMcG0014102	h1SMcT0014102.1	other	-	-	-	-	-	-	-	-	-	-
h1SMcG0014756	h1SMcT0014756.1	other	-	-	-	-	-	-	-	-	-	-
h1SMcG0015690	h1SMcT0015690.1	other	-	-	-	-	-	-	-	K02A2.6-like	DUF1759,RVP_2,RVT_1,SCAN,SRCR,gag-asp_proteas,rve,zf-CCHC,zf-H2C2	-
h1SMcG0016069	h1SMcT0016069.1	other	-	-	-	-	-	-	-	retrotransposable element Tf2 155 kDa protein type 1-like	Asp_protease_2,DDE_Tnp_4,DUF1759,HTH_Tnp_4,PHD,PNMA,RVP_2,RVT_1,SRCR,Suppressor_APC,TatD_DNase,Zona_pellucida,gag-asp_proteas,rve,zf-CCHC,zf-H2C2	-
h1SMcG0016734	h1SMcT0016734.1	other	-	-	-	SMEST051297001.1,SMEST051297002.1	-	SMESG000051297.1	-	K02A2.6-like	DUF1759,RVP_2,RVT_1,SCAN,SRCR,gag-asp_proteas,rve,zf-CCHC,zf-H2C2	-
h1SMcG0016853	h1SMcT0016853.1	other	-	-	-	-	-	-	-	K02A2.6-like	BESS,Baculo_F,Dimer_Tnp_hAT,MADF_DNA_bdg,Macro,RVP,RVT_1,Retrotrans_gag,rve,zf-CCHC,zf-H2C2	-
h1SMcG0016986	h1SMcT0016986.1	other	-	-	dd_Smed_v6_25195_0_5	-	dd_Smed_v6_25195_0_5	-	-	-	-	-
h1SMcG0017368	h1SMcT0017368.1	other	-	-	-	-	-	-	-	-	DNA_pol_B_2,DUF3719,Endonuclease_7,FLYWCH,Rho_N,SASA	-
h1SMcG0017681	h1SMcT0017681.1	hconf	SMEST048213001.1	MSTRG.14885	-	SMEST048206001.1,SMEST048213001.1	-	MSTRG.14881,MSTRG.14885	-	-	-	-
h1SMcG0018327	h1SMcT0018327.1	other	-	-	-	-	-	-	-	K02A2.6-like	BESS,Baculo_F,Dimer_Tnp_hAT,MADF_DNA_bdg,Macro,RVP,RVT_1,Retrotrans_gag,rve,zf-CCHC,zf-H2C2	-
h1SMcG0018785	h1SMcT0018785.1	other	-	-	-	-	dd_Smed_v6_16335_0_1	-	-	-	-	-
h1SMcG0019010	h1SMcT0019010.1	other	-	-	-	-	-	-	-	-	-	-
h1SMcG0019795	h1SMcT0019795.1	hconf	SMEST014206001.1	MSTRG.4292	-	SMEST014206001.1	dd_Smed_v6_56222_0_1	MSTRG.4292	-	BTB/POZ domain	BTB_2,Ion_trans	-
h1SMcG0019797	h1SMcT0019797.1	hconf	SMEST014198001.1	SMESG000014198.1	-	SMEST014198001.1	-	SMESG000014198.1	-	BTB/POZ domain	BTB_2,Ion_trans	-
h1SMcG0020229	h1SMcT0020229.1	other	-	-	-	-	-	-	-	BH2 domain binding	ABC_ATPase,ArfGap,DDE_Tnp_4,Dynamin_M,Dynamin_N,GED,GIT1_C,GIT_SHD,RVT_1,WD40	-
h1SMcG0021547	h1SMcT0021547.1	hconf	SMEST046507001.1	MSTRG.14593	-	SMEST046507001.1,SmMSTRG.14593.2	-	MSTRG.14593	-	microtubule motor activity	Kinesin,Microtub_bd	-
h1SMcG0021586	h1SMcT0021586.1	other	-	-	-	-	-	-	-	-	-	-
h1SMcG0022474	h1SMcT0022474.1	hconf	SMEST010015002.1	MSTRG.3764	dd_Smed_v6_1454_0_1	SMEST010015002.1	dd_Smed_v6_1454_0_1	MSTRG.3764	-	-	-	-
h1SMcG0022660	h1SMcT0022660.1	other	-	-	-	-	-	-	TRAF5	meprin and TRAF homology	zf-C3HC4,zf-TRAF	-
h1SMcG0022748	h1SMcT0022748.1	other	-	-	-	-	-	-	POLA1	DNA Polymerase alpha zinc finger	AAA_33,DNA_pol_B,DNA_pol_B_exo1,DNA_pol_alpha_N,SPRY,zf-DNA_Pol	-
h1SMcG0023033	h1SMcT0023033.1	hconf	SmMSTRG.3339.1	MSTRG.3339	-	SmMSTRG.3339.1	-	MSTRG.3339	ONECUT2	One cut domain, family member	CUT,DUF1759,Homeobox	CUT
h1SMcG0023101	h1SMcT0023101.1	other	-	-	-	-	-	-	-	-	-	-
h1SMcG0023102	h1SMcT0023102.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0000019	h1SMnT0000019.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0000963	h1SMnT0000963.2	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0001030	h1SMnT0001030.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0001079	h1SMnT0001079.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0001080	h1SMnT0001080.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0002180	h1SMnT0002180.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0002352	h1SMnT0002352.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0002574	h1SMnT0002574.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0002935	h1SMnT0002935.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0003091	h1SMnT0003091.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0003313	h1SMnT0003313.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0003836	h1SMnT0003836.1	hconf	-	-	-	SMEST037831001.1	-	MSTRG.11829	-	-	-	-
h1SMnG0004109	h1SMnT0004109.1	hconf	SmMSTRG.9889.1	MSTRG.9889	dd_Smed_v6_13584_0_1	SmMSTRG.9889.1	dd_Smed_v6_13584_0_1	MSTRG.9889	-	-	-	-
h1SMnG0004489	h1SMnT0004489.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0004771	h1SMnT0004771.2	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0004961	h1SMnT0004961.1	hconf	-	-	-	-	-	-	-	-	-	-
h1SMnG0005258	h1SMnT0005258.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0005355	h1SMnT0005355.1	hconf	-	-	-	-	-	-	-	-	-	-
h1SMnG0005471	h1SMnT0005471.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0005655	h1SMnT0005655.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0005701	h1SMnT0005701.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0005944	h1SMnT0005944.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0006457	h1SMnT0006457.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0006639	h1SMnT0006639.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0006769	h1SMnT0006769.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0006958	h1SMnT0006958.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0007421	h1SMnT0007421.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0007655	h1SMnT0007655.2	hconf	-	-	-	-	-	-	-	-	-	-
h1SMnG0007928	h1SMnT0007928.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0008088	h1SMnT0008088.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0009000	h1SMnT0009000.1	hconf	SMEST044180001.1	MSTRG.13976	-	SMEST044180001.1	-	MSTRG.13976	SAMD15	Sterile alpha motif.	SAM_1,SAM_2	-
h1SMnG0009577	h1SMnT0009577.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0009579	h1SMnT0009579.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0009594	h1SMnT0009594.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0009779	h1SMnT0009779.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0010406	h1SMnT0010406.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0010426	h1SMnT0010426.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0010779	h1SMnT0010779.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0010809	h1SMnT0010809.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0011309	h1SMnT0011309.1	hconf	-	-	-	-	-	-	-	-	-	-
h1SMnG0011427	h1SMnT0011427.1	hconf	SMEST054975001.1	SMESG000054975.1	-	SMEST054975001.1,SMEST078774001.1	-	SMESG000054975.1,SMESG000078774.1	-	-	-	-
h1SMnG0011480	h1SMnT0011480.2	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0011586	h1SMnT0011586.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0012122	h1SMnT0012122.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0012386	h1SMnT0012386.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0012743	h1SMnT0012743.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0013773	h1SMnT0013773.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0013874	h1SMnT0013874.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0014178	h1SMnT0014178.1	hconf	SmMSTRG.19820.1	-	-	SmMSTRG.19820.1	-	-	-	-	-	-
h1SMnG0015267	h1SMnT0015267.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0015593	h1SMnT0015593.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0015657	h1SMnT0015657.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0015678	h1SMnT0015678.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0016701	h1SMnT0016701.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0016969	h1SMnT0016969.1	other	-	-	-	SMEST053255002.1,SMEST056869001.1,SMEST056869002.1	-	SMESG000053255.1,SMESG000056869.1	-	-	-	-
h1SMnG0016996	h1SMnT0016996.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0017151	h1SMnT0017151.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0018655	h1SMnT0018655.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0018719	h1SMnT0018719.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0018832	h1SMnT0018832.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0018892	h1SMnT0018892.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0019088	h1SMnT0019088.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0019335	h1SMnT0019335.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0019337	h1SMnT0019337.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0019705	h1SMnT0019705.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0019802	h1SMnT0019802.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0019804	h1SMnT0019804.2	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0020146	h1SMnT0020146.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0020182	h1SMnT0020182.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0020961	h1SMnT0020961.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0021028	h1SMnT0021028.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0021580	h1SMnT0021580.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0021847	h1SMnT0021847.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0022027	h1SMnT0022027.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0022376	h1SMnT0022376.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0022490	h1SMnT0022490.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0022500	h1SMnT0022500.1	hconf	-	-	-	-	-	-	PABPC4	negative regulation of nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	PABP,RRM_1,ZZ	-
h1SMnG0022518	h1SMnT0022518.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0022764	h1SMnT0022764.2	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0023229	h1SMnT0023229.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0023739	h1SMnT0023739.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0024196	h1SMnT0024196.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0024818	h1SMnT0024818.2	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0024903	h1SMnT0024903.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0025048	h1SMnT0025048.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0025086	h1SMnT0025086.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0025269	h1SMnT0025269.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0025754	h1SMnT0025754.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0025983	h1SMnT0025983.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0026160	h1SMnT0026160.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0026401	h1SMnT0026401.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0026621	h1SMnT0026621.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0026708	h1SMnT0026708.1	other	SmMSTRG.10690.1	MSTRG.10690	-	SmMSTRG.10690.1	-	MSTRG.10690	-	-	-	-
h1SMnG0027062	h1SMnT0027062.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0027988	h1SMnT0027988.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0028575	h1SMnT0028575.2	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0029226	h1SMnT0029226.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0030502	h1SMnT0030502.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0031340	h1SMnT0031340.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0031378	h1SMnT0031378.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0031422	h1SMnT0031422.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0031438	h1SMnT0031438.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0031990	h1SMnT0031990.1	hconf	-	-	-	-	-	-	-	-	-	-
h1SMnG0032046	h1SMnT0032046.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0032491	h1SMnT0032491.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0032727	h1SMnT0032727.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0032901	h1SMnT0032901.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0033141	h1SMnT0033141.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0033613	h1SMnT0033613.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0033758	h1SMnT0033758.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0033903	h1SMnT0033903.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0034375	h1SMnT0034375.1	other	-	-	-	-	-	-	-	-	-	-
h1SMnG0034527	h1SMnT0034527.2	hconf	-	-	-	-	-	-	GGCT	gamma-glutamylcyclotransferase activity	AIG2_2,GGACT	-
h1SMnG0035183	h1SMnT0035183.1	hconf	-	-	-	-	-	-	-	to Saccharomyces cerevisiae ULP1 (YPL020C)	FAD_binding_3,Peptidase_C48,Phe_hydrox_dim	-
